As,Cd,Cr,Cu,Fe,Mn,Ni,Pb,Zn,Hg,Co,Al,Se,Sb,Ba,V,sample_id,lat,long,HPI
42.166,39.671,37.894,40.064,7.719,0.785,38.687,37.297,17.781,65.581,64.495,26.727,71.799,69.472,41.698,5.97,PINGALWADA,22.11083333,73.07861111,57.12
10.117,7.458,5.651,8.222,1.515,17.014,13.195,7.112,2.985,20.458,21.082,1.05,6.543,2.798,19.426,17.1,Ganod,21.66555556,70.18083333,14.07
43.542,52.669,41.552,81.484,50.553,3.375,55.218,58.419,67.778,16.477,93.931,52.172,49.935,68.116,14.192,29.13,MAHUWA,21.01444444,73.14027778,35.36
87.637,74.12,93.211,7.641,83.164,20.976,56.222,52.858,12.24,33.918,53.713,21.387,74.356,71.843,49.6,30.646,Lowara,21.44388889,71.56027778,51.68
8.296,5.453,5.184,2.595,1.326,3.985,0.08,4.318,12.073,3.173,13.003,8.49,14.097,7.661,4.968,7.964,CHANDAPUR(UCHHAL),21.47722222,74.19555556,5
12.314,4.395,3.59,6.482,7.313,14.391,11.099,2.666,13.492,4.071,0.003,3.613,6.857,5.615,12.52,6.923,Umargaon,20.19166667,72.75,5
3.792,9.092,11.888,11.213,17.906,16.688,19.985,7.76,7.446,0.153,14.41,10.912,8.433,13.564,6.873,4.988,Tumb,20.21666667,72.84166667,5
1.789,0.664,3.456,2.028,6.871,2.835,7.924,4.686,2.19,6.887,7.728,0.598,2.744,4.941,7.088,5.788,Dahli (bhilad),20.25833333,72.88333333,5
6.727,0.013,4.486,4.065,4.32,4.451,4.966,4.201,3.868,6.728,7.014,2.295,6.013,4.049,0.651,1.519,Huda,20.29083333,73.40888889,5
31.526,108.77,109.713,27.99,44.661,82.953,76.941,28.168,10.249,50.766,75.907,72.328,6.356,8.537,56.074,27.445,Fali,20.31305556,73.37611111,53.4
50.484,16.825,28.976,59.646,55.018,10.311,59.228,27.141,11.576,54.441,16.645,48.678,60.557,74.659,77.424,33.245,Kanadu,20.325,72.84166667,47.87
5.452,4.716,0.369,4.324,0.958,6.813,0.078,8.117,2.71,5.199,0.415,7.398,2.332,6.499,1.754,1.262,Chavshala,20.32833333,73.32583333,5
8.663,2.302,8.033,6.406,5.898,2.676,8.306,10.21,1.376,3.756,9.527,4.71,2.72,10.467,1.655,10.046,Kaparda,20.34166667,73.21666667,5
9.6,77.851,48.793,53.99,89.817,48.55,6.619,18.622,119.574,60.258,13.62,23.197,28.907,95.121,43.76,5.547,Motaponda,20.35833333,73.03333333,57.88
10.946,18.964,3.623,18.32,0.559,7.987,7.029,17.937,15.365,3.337,16.033,6.311,11.931,16.256,6.847,15.283,Karwad,20.3625,72.975,9.26
1.658,2.369,2.943,3.51,0.463,9.145,0.142,0.445,6.992,6.715,6.958,5.628,4.678,6.38,8.485,0.908,Mandwa,20.36666667,73.175,5
172.743,1.65,129.38,201.62,11.923,149.197,136.979,67.236,224.868,117.789,94.146,92.263,23.367,135.298,243.249,77.697,Jempore,20.37777778,72.82694444,95.29
51.355,113.219,134.295,100.234,54.385,16.609,97.191,102.148,13.919,104.411,51.633,108.026,84.942,112.171,56.137,77.674,Vapi Balitha,20.38027778,72.90444444,101.62
8.945,9.89,18.703,0.672,5.423,1.817,17.234,7.296,16.658,0.834,3.345,7.462,13.356,4.813,11.594,18.433,Ambawadi,20.40277778,72.84444444,5
0.331,4.733,1.972,3.821,4.726,0.575,6.982,4.953,6.971,5.444,6.939,3.478,7.433,4.685,4.325,0.652,Warkund,20.40805556,72.85972222,5
53.135,12.725,80.746,48.766,16.709,133.143,88.582,32.822,84.417,85.046,19.632,118.954,23.886,93.805,142.904,7.878,Dabhel,20.41111111,72.88611111,65.11
84.07,89.354,31.397,107.431,100.883,67.97,79.538,74.921,121.175,72.163,10.478,36.342,5.16,103.178,64.265,95.248,Nanaponda,20.41388889,73.12083333,74.9
4.975,0.672,2.589,24.78,21.267,7.375,20.79,21.983,5.819,3.17,19.404,16.488,1.513,6.758,16.15,23.971,Khariwad daman,20.425,72.84583333,5
8.549,24.524,5.15,4.261,6.885,9.819,18.199,15.832,20.765,1.036,15.032,4.333,0.245,0.602,11.86,15.737,Morwad,20.43527778,72.83111111,6.92
74.529,24.254,45.506,8.457,6.016,49.815,8.952,37.973,93.097,6.566,24.009,7.358,31.089,59.593,72.866,47.086,Dalwada,20.44305556,72.85194444,22.61
105.992,51.49,99.901,24.603,101.371,45.994,94.684,31.575,99.688,34.204,28.172,16.136,111.119,100.487,66.792,4.99,Bhimpor k.falia,20.45833333,72.87083333,53.33
13.447,40.66,15.215,39.747,20.027,11.143,39.221,18.439,2.884,40.696,39.454,13.261,36.035,12.038,19.395,14.595,Udwada,20.46361111,72.91805556,34.16
257.874,220.444,162.257,192.749,190.23,298.736,43.768,4.438,293.767,16.541,98.313,304.283,37.892,106.406,277.378,300.346,Lakadmal,20.46666667,73.15833333,81.71
25.668,24.297,31.883,5.514,7.302,18.295,50.64,9.506,0.054,1.325,65.04,6.926,53.725,37.738,12.765,40.4,Awadha,20.51666667,73.2875,15.99
123.659,21.529,27.585,52.521,18.357,68.699,121.534,26.6,10.805,73.366,12.27,14.721,64.983,106.283,88.663,1.132,Dharampur 3,20.53083333,73.1625,66.8
3.581,1.853,3.793,5.258,6.567,5.717,2.144,3.645,1.135,6.218,3.817,4.843,6.494,5.904,4.229,2.958,Malegaon,20.6,73.74583333,5
54.796,62.279,51.483,11.33,41.614,89.589,3.537,46.711,50.907,7.01,40.788,77.183,15.434,91.309,73.074,2.435,Anklas,20.61944444,73.26666667,31.23
115.519,6.102,8.205,109.495,70.585,13.761,71.57,72.075,45.08,118.061,115.324,28.864,47.525,69.527,64.934,87.712,Khergam,20.63333333,73.09583333,84.53
16.085,5.383,30.028,76.852,49.386,15.485,9.203,47.176,10.826,125.28,106.701,98.175,30.742,66.388,38.994,81.615,Jakana,20.63333333,73.74583333,79.17
77.319,126.222,15.223,98.999,94.64,93.025,29.557,4.003,210.295,93.905,151.09,35.531,7.736,209.381,109.809,115.348,Chinchpada,20.6375,73.775,99.58
12.792,14.046,11.784,14.81,3.422,11.606,15.278,13.868,6.424,15.196,13.142,0.891,5.029,14.022,3.791,10.181,Gadad,20.6375,73.775,13.98
41.09,40.531,45.424,22.623,11.13,28.241,26.884,37.807,2.254,4.593,26.886,15.872,43.782,8.625,14.593,12.462,Bari Pada,20.64,73.69138889,18.11
19.159,14.629,70.345,8.684,35.22,1.201,83.836,21.202,56.646,58.83,83.852,89.867,30.969,22.176,61.949,37.695,Bari pada,20.64166667,73.69166667,42.77
5.512,24.428,33.406,20.138,36.031,14.268,34.149,38.116,36.869,17.731,5.491,21.862,38.56,33.377,18.942,38.597,Dhumkal,20.64583333,73.79166667,22.63
0.009,4.26,7.609,7.322,5.432,4.723,5.354,9,9.369,5.625,3.869,5.335,1.68,5.476,7.604,0.178,Panikhadak,20.64916667,73.16694444,5
12.797,15.267,17,0.669,12.005,3.283,19.287,21.044,16.487,15.273,10.042,6.458,15.985,1.874,1.3,3.773,Chikhli,20.65833333,73.6875,13.96
63.786,147.188,51.229,3.669,129.609,144.297,112.849,89.909,77.666,19.568,60.256,4.247,29.382,70.828,40.821,53.884,Manav Khadak,20.67416667,73.23333333,57.04
60.317,24.457,8.454,105.712,235.818,209.416,79.405,197.364,112.55,71.484,146.961,64.128,109.015,76.676,141.343,239.98,Pipalkhed,20.675,73.28333333,74.86
8.267,6.954,7.149,7.019,6.303,3.21,6.131,9.334,2.466,3.855,3.981,0.263,4.895,3.743,1.464,2.896,Umberpada,20.68333333,73.725,5
93.445,31.878,137.476,101.081,54.886,113.724,107.841,120.965,58.796,61.57,58.161,30.833,135.452,19.127,108.301,138.744,Rumla,20.68916667,73.15888889,63.54
57.09,64.128,70.756,30.799,24.17,62.071,15.036,17.915,12.82,64.543,54.528,41.508,11.34,57.418,17.545,15.439,Aherdi,20.69166667,73.61666667,56.29
25.426,77.157,32.197,4.074,59.169,78.674,22.101,76.308,81.308,65.004,71.427,1.47,13.333,77.002,65.815,62.569,Nana pada,20.7,73.58333333,62.71
5.282,9.28,6.282,0.518,13.405,22.264,11.117,7.917,34.9,35.934,21.832,35.691,30.208,36.453,10.344,41.1,Gomtimata,20.70833333,70.87638889,27.02
35.634,36.976,43.513,39.523,3.596,15.795,11.962,4.049,5.442,7.744,27.564,35.406,14.071,34.408,5.501,30.631,Diu,20.71472222,70.94861111,17.99
5.062,1.773,14.669,7.752,14.181,5.657,8.528,11.723,4.716,3.344,9.627,10.409,13.822,7.506,2.277,12.281,Sakarpatal,20.71944444,73.55694444,5
45.503,8.883,40.444,6.174,76.165,44.173,28.079,83.304,31.975,80.102,62.28,59.762,36.284,76.796,70.978,63.454,Jalawadi,20.72166667,70.93305556,61.49
7.201,6.107,3.901,1.089,10.925,0.851,8.537,8.429,0.389,9.763,0.288,10.997,3.386,1.15,4.042,13.317,Kaliyari,20.725,73.15,7.54
16.976,37.498,15.358,12.584,28.803,37.829,1.601,4.275,40.057,17.315,19.679,31.588,17.413,6.755,9.061,23.882,Jamalpada,20.73166667,73.52055556,18.82
19.128,118.798,24.949,43.477,44.426,6.738,101.042,34.236,83.778,90.742,80.332,112.482,92.938,76.27,95.809,95.567,Hond,20.73888889,73.04583333,86.69
47.416,147.27,60.527,57.76,48.017,89.66,31.362,176.657,112.729,44.8,170.23,82.011,136.071,28.668,93.454,113.567,Ahwa1,20.75833333,73.68333333,74.22
4.601,35.697,22.516,9.874,0.485,21.039,21.907,9.768,20.439,33.71,34.398,6.33,17.779,26.64,36.924,33.383,Vaghai,20.76388889,73.50444444,29.21
51.266,54.869,45.845,50.743,45.056,15.982,58.102,60.837,20.013,48.078,25.294,9.584,10.743,4.185,58.126,1.87,Bhenskatri,20.76805556,73.54166667,42.94
50.575,15.294,31.341,27.069,43.542,21.384,20.529,33.314,15.841,12.079,5.528,11.433,14.643,34.716,33.814,14.907,Sari_khurd,20.7875,72.95416667,18.6
77.374,8.782,49.503,44.84,16.532,54.471,0.159,75.96,65.351,44.673,25.204,75.265,16.514,76.058,65.157,43.082,Kesariya1,20.79638889,70.94194444,42.4
25.992,21.325,18.956,13.415,15.355,8.596,6.697,10.564,18.201,12.514,21.701,23.219,11.641,26.965,19.816,25.663,Kantasvel,20.79722222,73.29166667,16.19
5.823,5.159,1.038,5.344,1.551,2.734,0.138,5.145,0.979,5.385,0.31,3.419,2.349,6.052,0.791,4.263,Kodinar,20.8,70.69166667,5
6.74,1.388,5.93,7.519,1.118,2.584,12.317,0.164,10.422,4.08,10.807,8.629,11.177,10.943,12.095,11.575,Kodinar1,20.8,70.69166667,5
49.009,22.732,41.2,16.748,39.825,38.322,63.144,23.687,20.927,43.555,39.218,43.488,13.531,22.676,16.126,37.13,Ghubita,20.8,73.7375,35.93
10.541,56.344,63.609,28.872,59.376,46.19,28.307,42.302,73.826,26.746,56.408,73.632,73.827,69.611,35.291,20.731,Nadak khadi,20.80416667,73.6125,39.44
9.563,2.871,10.415,3.391,17.109,3.151,13.302,15.523,10.531,11.878,14.166,13.704,3.206,18.268,7.315,4.805,Moti Valzar,20.805,73.26666667,10.56
3.187,7.914,5.109,8.007,2.531,1.658,7.401,4.754,0.763,4.424,6.839,4.16,3.403,4.45,3.75,3.424,Doldha,20.80666667,73.2275,5
2.188,0.173,3.362,1.641,2.992,3.574,4.615,9.135,1.529,6.292,8.881,0.748,6.618,5.525,7.977,1.676,Chinchnogaotha,20.80833333,73.55277778,5
84.09,105.733,120.853,91.624,85.998,50.548,4.546,12.04,18.546,52.342,62.864,36.26,128.033,63.654,138.131,73.885,Bori gaotha,20.81111111,73.50416667,65.86
0.595,7.025,25.457,18.021,7.577,12.151,2.866,21.211,5.915,17.503,20.92,20.715,30.299,10.858,22.205,26.911,Rankuva,20.8125,73.15833333,14.83
9.859,2.214,2.755,4.52,10.321,7.343,3.356,4.434,7.794,11.784,1.328,5.25,4.603,6.187,4.792,1.874,Dolasa,20.82083333,70.85833333,8.19
4.989,15.626,12.967,10.401,14.829,3.513,12.449,3.78,2.804,0.788,11.905,13.019,14.011,0.622,10.032,6.486,Una2,20.825,71.04166667,5
4.68,1.91,1.054,6.996,0.185,1.327,4.161,2.938,8.054,6.671,5.212,7.896,1.46,5.507,2.468,5.275,Duvada,20.82861111,73.0575,5
27.742,51.549,65.398,64.234,104.508,60.968,30.503,76.571,47.408,30.223,39.242,108.32,0.701,56.502,14.982,63.474,Chadav,20.83111111,73.33444444,38.53
0.957,2.868,9.829,5.847,1.46,4.996,5.976,10.842,1.702,6.736,4.539,4.95,1.302,0.956,4.222,12.159,Onjal,20.83333333,72.84166667,5.15
53.306,22.791,44.769,51.488,62.52,22.055,1.974,70.512,22.802,60.942,5.517,60.485,39.573,10.014,17.006,22.96,Onjal1,20.83333333,72.84166667,45.44
42.549,50.574,57.994,37.893,34.369,10.546,25.961,18.224,24.164,21.914,42.76,45.358,53.268,17.996,54.567,54.796,Vaheval,20.83722222,73.28777778,29.91
4.257,2.066,5.239,4.667,4.087,6.633,0.594,0.612,2.667,7.06,3.534,5.092,2.049,4.647,1.108,6.727,Unai,20.85,73.34166667,5
11.362,5.242,19.327,16.097,14.052,3.239,6.252,9.788,6.435,0.579,13.767,14.217,7.132,17.226,4.096,3.857,Prasli,20.85083333,70.66916667,5
2.934,5.568,8.907,2.738,2.891,0.535,2.04,9.274,7.895,5.048,6.405,4.16,8.382,1.069,8.544,9.164,Sametar,20.85416667,71.12083333,5
5.235,3.415,2.296,2.613,4.206,2.098,4.084,1.977,0.961,6.032,4.189,1.318,1.053,6.828,1.899,3.906,Abrama,20.8625,72.9,5
3.351,5.483,0.079,9.315,5.711,0.163,4.791,7.498,5.862,4.894,2.264,8.071,0.982,8.427,4.815,6.743,Jafrabad,20.86666667,71.3625,5.14
4.265,0.633,2.977,0.246,0.325,1.828,2.666,6.015,2.089,6.224,1.758,7.416,6.216,6.773,6.133,4.385,Sodmal,20.86666667,73.61666667,5
2.703,4.708,4.208,4.848,5.451,1.925,4.417,10.763,0.382,3.874,6.224,10.155,5.003,9.287,9.056,6.949,Bherai,20.86805556,71.3625,5
4.477,4.595,14.085,15.873,3.285,12.984,15.843,17.197,16.547,3.936,7.265,11.654,1.07,2.699,15.722,4.062,Kansari,20.87,71.05111111,5
8.953,8.89,17.835,21.944,10.905,7.918,10.064,5.335,12.894,1.449,2.358,13.067,17.481,10.841,6.268,5.492,Vazat Amba,20.87833333,73.51833333,5.59
0.581,8.985,7.741,5.936,0.78,6.719,4.703,8.671,0.477,6.475,5.359,2.792,3.876,7.262,4.771,6.212,Jargla Jargali,20.88083333,70.98416667,6.59
5.192,9.228,4.892,0.304,3.328,6.787,10.169,11.983,8.749,2.475,0.853,9.768,2.248,7.433,7.505,3.774,Dandi,20.89166667,72.80833333,5
2.151,3.792,3.178,5.076,0.063,3.299,5.61,4.993,2.042,5.683,4.878,5.373,4.24,5.965,2.765,1.589,Timbi2,20.89583333,71.20416667,5
19.03,1.467,20.371,23.119,0.013,12.119,6.415,15.349,25.889,22.496,5.629,14.9,26.654,7.812,8.582,19.565,Timbi,20.9,71.2,16.35
3.78,1.718,6.441,4.69,2.227,3.16,3.577,5.398,0.418,6.524,1.566,4.579,1.137,6.31,0.829,1.235,Ajotha,20.90194444,70.51805556,5
24.591,21.004,29.048,56.238,6.493,19.1,35.809,46.243,55.724,43.307,28.861,36.742,13.501,58.587,48.278,26.153,Kadiyali,20.90833333,71.36027778,37.91
31.881,3.919,8.535,15.187,72.984,35.818,81.562,71.369,41.369,18.093,38.928,34.537,80.876,61.469,14.466,44.148,Mahal,20.91666667,73.67916667,28.94
37.979,35.831,57.146,22.572,31.635,30.589,8.501,27.452,34.135,24.818,3.73,3.367,27.031,39.497,35.535,21.636,Kalibel,20.92083333,73.58055556,28.76
28.832,26.996,15.818,47.847,45.023,36.92,43.777,46.953,24.023,29.014,27.416,1.851,1.163,14.119,14.68,25.156,Subir,20.92222222,73.58055556,26.82
29.61,118.513,49.15,93.8,150.007,56.043,54.276,146.998,37.962,107.912,13.696,83.363,112.844,77.124,89.726,30.105,Girgadhada,20.925,70.91666667,100.83
1.581,12.829,12.568,16.155,2.881,2.223,16.749,10.721,9.115,10.234,13.545,14.858,9.453,11.753,0.59,4.482,Nageshri,20.925,71.35416667,10.49
4.562,8.834,9.999,13.078,2.498,13.948,0.878,10.651,14.489,2.114,2.564,7.047,10.494,7.691,8.135,7.51,Puna1,20.92916667,73.22916667,5
11.213,5.204,4.409,2.344,1.006,9.009,2.992,3.417,10.477,4.275,11.346,2.244,7.337,4.792,8.41,3.468,Eru,20.93638889,72.92638889,5
2.61,12.606,37.713,7.739,4.714,7.897,107.031,91.409,70.163,68.497,43.785,48.361,30.213,82.573,105.562,51.876,Govindpura2,20.94583333,70.39583333,56.09
4.273,8.059,0.814,5.09,6.612,2.398,4.211,5.481,1.362,3.901,1.8,8.655,3.925,6.699,0.012,8.503,Navsari,20.95,72.93333333,5
34.499,46.765,310.12,254.506,178.062,115.013,216.309,105.372,25.154,30.069,19.182,150.533,57.286,5.43,122.28,239.363,Bedchit,20.95,73.35138889,46.58
197.504,61.252,14.215,167.475,194.995,72.407,46.522,38.208,71.564,74.458,223.397,212.126,124.363,81.025,221.006,215.759,Navsari 1,20.95805556,72.935,82.16
3.365,11.326,4.072,10.358,5.57,10.404,10.521,9.47,9.225,3.059,14.792,16.752,1.329,1.243,13.741,9.096,Dhokadva,20.95833333,71.07083333,5
5.851,7.054,0.508,6.481,6.629,0.905,7.207,7.348,6.965,4.417,3.673,1.339,0.675,5.196,1.182,6.778,Lotpur,20.9625,71.43333333,5
18.925,1.666,11.8,11.158,10.23,2.999,13.262,2.996,7.929,3.767,14.985,1.855,0.992,8.4,16.408,11.074,Bardipada,20.96666667,73.64166667,5
15.41,14.914,32.204,21.637,23.572,8.197,38.832,7.738,11.667,28.216,38.766,19.704,11.958,38.726,25.446,26.195,Hinderana,20.97472222,71.41277778,24.77
146.365,111.667,114.566,147.16,89.098,233.549,265.285,365.492,332.82,41.072,251.291,313.113,35.66,49.368,74.943,340.182,Bhim Deval,20.9775,70.60916667,89.01
7.563,7.514,2.822,1.916,5.385,7.593,8.009,3.658,5.355,2.851,4.4,2.654,11.085,7.771,2.937,1.056,Moraj,20.98333333,70.43611111,5
2.153,5.672,11.121,0.277,1.545,11.297,2.707,5.226,0.321,4.04,10.188,9.382,6.136,8.515,6.075,4.972,Jamvala1,20.98333333,70.7625,5
13.242,17.423,1.242,7.928,1.81,13.081,3.024,0.021,18.197,13.561,17.288,6.647,1.158,5.436,11.752,7.784,Chinam,20.99166667,72.88611111,11.59
5.269,14.215,0.412,28.415,2.056,14.858,33.111,0.772,28.544,26.69,17.711,24.059,13.435,17.067,23.884,9.551,Ubhrat,21.00833333,72.74583333,20.03
47.552,63.059,126.866,9.241,89.585,122.766,4.239,19.34,105.356,13.84,113.165,113.642,128.234,114.45,85.929,79.991,Amervel Nes,21.00888889,70.72583333,43.85
35.313,108.387,241.109,28.966,181.965,105.114,38.351,187.155,233.445,3.301,130.539,24.665,69.128,243.768,25.985,6.586,Parjan,21.01111111,72.83916667,65.55
10.213,10.665,1.757,38.513,26.223,26.617,28.194,44.123,14.528,29.19,2.969,9.393,44.815,11.879,0.421,1.598,Victor,21.0125,71.54166667,23.93
20.652,38.57,10.409,34.712,14.475,46.694,36.549,40.992,29.925,25.857,14.806,23.049,42.235,44.402,32.137,22.225,Karanjvel,21.01277778,73.45805556,31.3
4.324,2.618,0.995,7.704,6.583,9.244,2.35,7.345,1.543,5.985,0.039,8.523,9.178,2.189,6.34,6.523,Trakuda,21.01666667,71.28055556,5
174.579,68.812,181.109,183.871,175.667,151.457,52.614,7.517,44.2,127.265,143.991,5.185,4.29,4.414,58.765,132.326,Mahuva2,21.02083333,73.14583333,93.61
0.102,9.325,1.669,1.896,8.298,6.999,7.756,7.756,0.865,3.221,5.764,6.519,4.973,7.524,6.19,1.343,Jambur[madhapar,21.02916667,70.60833333,5
34.003,18.422,36.529,67.597,80.753,1.256,54.698,80.978,14.823,91.647,38.131,10.305,1.185,8.631,38.621,34.112,Kanek,21.03055556,70.24166667,59.31
18.475,14.954,4.683,30.75,25.13,27.153,15.112,5.479,19.212,20.414,29.226,31.776,7.762,28.049,25.567,15.091,Chorwad,21.04166667,70.21666667,18.58
140.161,47.649,1.818,73.543,131.796,160.522,36.155,26.969,109.834,98.596,131.655,21.259,58.642,51.318,124.579,10.405,Kelkui,21.04194444,73.32333333,78.62
4.941,78.593,11.378,66.59,73.558,8.285,32.821,65.38,4.555,8.999,59.295,62.811,30.364,53.401,52.162,78.029,Khambalia1,21.04444444,70.19166667,31.22
15.068,7.091,0.634,10.102,3.28,1.173,2.478,5.931,13.428,3.044,13.435,11.618,11.026,2.65,14.417,8.146,Ankolvadi 1,21.04694444,70.66472222,5
49.432,49.154,4.639,29.627,7.182,43.456,17.235,43.061,27.748,33.782,42.501,61.651,23.587,9.604,54.534,64.292,Ankolvadi,21.04722222,70.65833333,34.45
56.267,26.49,53.202,49.143,31.012,27.038,45.464,47.743,50.444,17.282,1.907,10.466,32.17,19.52,42.225,3.801,Valod,21.05,73.26666667,24.25
17.478,1.929,8.372,43.469,58.256,56.617,10.589,7.684,29.604,1.545,48.992,44.165,20.286,14.288,42.035,60.513,Talala1,21.05138889,70.525,6.9
20.701,29.503,53.92,76.976,76.521,28.136,39.907,42.35,30.164,1.52,4.646,37.513,55.532,72.873,29.184,41.828,Kukaswada,21.05416667,70.20833333,21.7
53.681,63.156,41.932,5.234,10.998,31.727,36.866,2.817,27.54,50.135,7.181,1.647,53.72,45.586,50.711,66.019,Sarbhon,21.05833333,73.09166667,48.84
320.421,62.357,158.382,341.958,170.447,147.795,186.971,179.136,214.388,31.065,107.537,19.691,321.253,12.108,245.142,397.53,Allu,21.0625,73.19166667,82.36
115.853,66.363,35.751,133.931,98.297,76.487,136.553,71.393,55.173,112.162,92.318,35.619,61.167,105.394,22.64,77.264,Khorada1,21.06388889,70.17361111,98.03
6.448,3.919,10.427,7.637,6.859,10.658,10.674,5.228,10.712,5.165,8.842,5.836,1.692,3.743,5.605,8.463,Palsana,21.07777778,72.99166667,5
3.386,0.897,7.247,3.67,4.244,4.259,0.913,8.217,7.37,6.843,2.468,3.441,3.429,3.92,2.384,3.473,Arena,21.08055556,70.17638889,5
5.595,10.34,8.815,6.785,2.803,0.396,11.474,12.136,3.298,1.875,3.84,11.581,10.502,3.568,0.316,2.895,Mahuva,21.08333333,71.75833333,5
6.791,6.022,11.991,13.473,10.031,13.738,6.46,10.346,10.586,3.321,4.38,15.408,8.835,3.266,15.725,15.437,Sultanabad,21.09166667,72.725,5
6.579,0.498,0.227,4.78,2.836,4.063,5.314,0.828,1.908,6.613,0.412,6.223,4.966,6.967,3.725,2.11,Sachin town,21.09166667,72.875,5
22.804,31.75,61.457,6.043,14.868,15.275,43.216,66.899,45.635,71.793,61.135,27.885,23.11,11.664,24.412,35.514,Budhecha,21.09583333,70.21666667,51.78
14.989,49.151,28.823,21.906,43.962,24.892,53.681,20.535,36.411,33.568,29.233,40.598,38.487,58.839,19.437,55.083,Mahuva1,21.09583333,71.76666667,38.04
3.592,9.87,2.999,11.178,0.802,3.454,1.301,12.29,8.656,1.79,0.789,4.376,2.438,12.408,8.56,10.25,Mandal,21.1,71.58333333,5
19.84,23.349,26.195,17.421,28.65,29.143,25.197,16.842,18.497,0.663,7.688,12.896,1.521,17.653,26.484,12.827,Shardagram,21.10416667,70.15277778,9.42
2.508,1.737,7.252,3.874,1.975,6.305,4.757,4.581,6.81,6.006,4.01,2.108,3.896,7.545,5.678,3.595,Bhavardi1,21.10833333,71.25833333,5
173.788,32.199,267.45,77.097,260.348,16.72,169.254,159.099,28.762,6.602,141.072,170.657,118.098,93.712,5.835,77.659,Vyara1,21.10833333,73.39583333,51.59
2.817,6.422,7.995,8.361,0.201,7.677,12.355,0.099,1.927,3.32,5.362,10.664,7.485,11.361,6.214,0.815,Jiav,21.110639,72.837889,5
55.207,23.825,34.517,56.056,62.182,5.055,75.604,69.521,33.411,21.432,86.979,48.533,13.728,1.211,90.651,40.974,Sepa,21.11666667,70.21944444,26.05
0.763,1.126,14.152,14.497,0.431,6.223,3.931,8.991,6.894,8.007,1.633,12.244,16.026,10.404,0.654,6.56,Ten-bardoli,21.11666667,73.1,7.04
105.05,20.302,110.846,126.581,57.269,5.334,51.405,69.75,89.799,86.689,12.22,45.734,64.896,65.697,124.94,109.017,Gangadhra,21.11861111,73.07527778,70.54
2.446,7.633,8.182,19.12,43.051,5.376,21.54,52.143,34.099,23.757,40.035,50.556,51.073,4.435,20.992,14.892,Mangrol1,21.13055556,70.11944444,20.67
10.565,11.553,14.11,9.351,18.374,6.116,3.707,0.068,12.062,11.436,12.7,6.364,2.786,14.213,2.608,0.533,Seriakhan,21.13333333,70.24861111,10.37
15.436,1.42,15.121,2.113,5.383,16.039,5.073,14.141,0.405,3.806,9.342,0.178,14.379,0.526,4.518,5.491,Madhi 1,21.13361111,73.24861111,5
7.319,13.518,10.656,10.887,7.579,5.347,15.143,15.251,3.442,0.957,5.531,9.533,2.558,13.293,9.024,5.604,Dudhala,21.1375,71.65833333,6.1
42.806,61.901,78.32,76.162,35.389,53.89,81.175,47.328,21.946,8.282,48.135,61.93,37.063,69.846,74.975,85.62,Madhi,21.14166667,73.25416667,33.11
