sample_id,lat,long,as,cd,cr,cr+6,pb,hg,ni,cu,zn,fe,mn,co,al,se,sb,ba,v
Lowara,21.44388889,71.56027778,0.018498567,0.005468828,0.096505071,0.089246576,0.018672456,0.001659822,0.037883435,2.612049959,5.143567847,0.549786214,0.172330279,0.093059884,0.387096897,0.018376272,0.009069739,1.300751961,0.094474191
CHANDAPUR(UCHHAL),21.47722222,74.19555556,0.033334512,0.010059405,0.171806363,0.162536719,0.033602762,0.003346049,0.06606297,4.79019855,9.803031604,0.987896948,0.334909308,0.168790013,0.669698829,0.031991255,0.016937674,2.231092291,0.167850123
Umargaon,20.19166667,72.75,0.008078835,0.002028087,0.035875538,0.045669114,0.006108289,0.000799117,0.018258242,1.158122641,2.40625466,0.221179357,0.065031907,0.029139592,0.116824389,0.006887806,0.002979764,0.501301649,0.039887696
Tumb,20.21666667,72.84166667,0.022277,0.00604249,0.090361538,0.093047927,0.020299434,0.002005234,0.03753161,3.044481357,5.472182145,0.525941579,0.203416378,0.095635179,0.426985895,0.018494955,0.008861059,1.407646173,0.101478826
Dahli (bhilad),20.25833333,72.88333333,0.002342038,0,0.003768508,0,0.001367832,9.99E-05,0,0.124383146,0.380899777,0,0,5.54E-05,0.056894859,0.00066166,0.001123076,0.104422099,0
Huda,20.29083333,73.40888889,0.00385134,0.001137508,0.019239481,0.008066304,0.004261688,0.000425438,0.005974086,0.487094892,1.083516552,0.067557162,0.032557507,0.02158524,0.070207859,0.003199252,0.00230732,0.24649184,0.016514676
Fali,20.31305556,73.37611111,0.014146116,0.005040467,0.078771111,0.076619889,0.015881587,0.001497532,0.030145797,2.43567598,4.411000156,0.459108438,0.157455733,0.070556454,0.289291057,0.015929324,0.007157373,1.157305815,0.072049611
Kanadu,20.325,72.84166667,0.000152474,0.000158266,0.008149749,0,0.000116114,0.000142237,0.0004971,0.273495935,0,0.014487967,0.008674731,0.001084419,0.031981723,0.000115517,0.000279743,0.032632107,0.002825547
Chavshala,20.32833333,73.32583333,0.007048962,0.001538331,0.024936445,0.032639443,0.005494549,0.000526012,0.011565698,0.998901277,1.257028871,0.168150392,0.051787496,0.030593038,0.1035223,0.005775697,0.002862545,0.422782342,0.034169103
Kaparda,20.34166667,73.21666667,0.007982163,0.00264931,0.032376041,0.036284528,0.007936328,0.000895945,0.016679713,0.951243837,2.026826167,0.243858976,0.07640993,0.025373626,0.145055241,0.007071833,0.003828884,0.449399998,0.045127882
Motaponda,20.35833333,73.03333333,0.003029642,0.000704767,0.004878219,0.018691571,0,0.000240318,0.00152754,0.313524404,1.03339118,0.021368324,0.032795742,0.013277043,0.034163573,0.001300301,0.001069971,0.120238994,0.007306231
Karwad,20.3625,72.975,0,0.000853446,0.007631717,0.000251817,0.001535706,0.000251211,0.007740112,0.259224829,0,0.043425976,0.035013167,0.017111465,0.021661969,0.00213976,0.000955805,0.079610786,0.0002952
Mandwa,20.36666667,73.175,0.007126552,0.00272942,0.041326361,0.03588306,0.007952628,0.000783599,0.017203884,0.977428609,2.271648973,0.227590846,0.075532041,0.037283429,0.144100346,0.008449762,0.0034292,0.647488359,0.033264967
Jempore,20.37777778,72.82694444,0.009713312,0.002597982,0.041545684,0.049208277,0.010400104,0.000848625,0.016184956,1.285227431,2.374753761,0.289380792,0.080182434,0.042494491,0.186101211,0.009938283,0.004757397,0.615635493,0.04629528
Vapi Balitha,20.38027778,72.90444444,0.013718999,0.00372601,0.068770478,0.066966942,0.012593803,0.001279858,0.026643565,1.912908599,4.132779302,0.405202258,0.117823776,0.06428262,0.244086466,0.012620127,0.007203613,0.883745203,0.064136587
Ambawadi,20.40277778,72.84444444,0.003998125,0.001668406,0.018781402,0.015617105,0.004590649,0.000469318,0.010346076,0.715413698,1.527729756,0.117825546,0.038592887,0.023771754,0.068684347,0.004000802,0.001886863,0.200441927,0.016932362
Warkund,20.40805556,72.85972222,0.003723785,0.000710786,0.00948206,0.011399054,0.003536616,0.000238515,0.005863761,0.430796821,0.218876481,0.11124247,0.011323475,0.00915147,0.074950935,0.000609418,0.000983344,0.235060402,0.006609996
Dabhel,20.41111111,72.88611111,0.008389654,0.001849752,0.024576716,0.035305068,0.006736039,0.00059649,0.015892571,0.964730861,1.830249421,0.295940123,0.061860942,0.036785432,0.147540247,0.008141215,0.00334892,0.511576387,0.034311812
Nanaponda,20.41388889,73.12083333,0.002643777,0.000871093,0.017637779,0.008845092,0.003524538,0.000125076,0.00473847,0.587350326,0.882245751,0.104558731,0.029648413,0.003287932,0.060068965,0.001883418,0.001130287,0.202833829,0.013034763
Khariwad daman,20.425,72.84583333,0.035186132,0.01066564,0.162938655,0.166736947,0.031913783,0.003225533,0.064967888,4.94438667,10.29412221,1.001696993,0.32780369,0.16868545,0.664437218,0.033669923,0.017271983,2.3365961,0.164657865
Morwad,20.43527778,72.83111111,0.00666816,0.002336278,0.034799903,0.025223862,0.007621118,0.000693398,0.017306299,0.891541387,1.671058957,0.199304886,0.056954451,0.036286729,0.124281237,0.007018251,0.002948152,0.587796274,0.037563274
Dalwada,20.44305556,72.85194444,0.0106764,0.003253132,0.055437662,0.059553513,0.010538369,0.001189967,0.022504718,1.774988278,3.069422054,0.363768694,0.113780405,0.059834813,0.220761039,0.009567371,0.00672614,0.891971008,0.058130726
Bhimpor k.falia,20.45833333,72.87083333,0.012196661,0.003261601,0.050567993,0.051687491,0.009416627,0.001093234,0.022593031,1.494406196,3.568674867,0.371333415,0.117716051,0.065127731,0.229311736,0.013432067,0.005433787,0.735817283,0.050956781
Udwada,20.46361111,72.91805556,0.005452654,0.001767652,0.033605426,0.02293028,0.006877071,0.000667322,0.011324743,1.028018562,1.842993904,0.210131374,0.071219213,0.031420716,0.093134722,0.007221125,0.003321672,0.458096385,0.024648802
Lakadmal,20.46666667,73.15833333,0.0187162,0.006371318,0.094457834,0.099081164,0.017418352,0.002005084,0.036895359,2.70511757,6.067166121,0.58955164,0.194340027,0.087279265,0.396154537,0.016288906,0.00957797,1.245863727,0.101355051
Awadha,20.51666667,73.2875,0.005721757,0.002259502,0.039792713,0.027542875,0.00555418,0.000729197,0.014279692,1.047786066,2.148471415,0.17224719,0.052790647,0.032907615,0.123858791,0.006106107,0.003273105,0.507714273,0.027811547
Dharampur 3,20.53083333,73.1625,0.045012908,0.013493743,0.225535655,0.23154919,0.044195861,0.004342799,0.088259694,6.815876253,12.90219115,1.384727632,0.437896765,0.216730152,0.894379223,0.045451589,0.022420078,3.158772505,0.216548368
Malegaon,20.6,73.74583333,0.003290291,0.000483581,0.015322169,0.010957277,0.002264809,4.18E-05,0.002553986,0.48899185,0.338234879,0.046525022,0.017327783,0.01068814,0,0.002785612,0.001435843,0.130231226,0.015958597
Anklas,20.61944444,73.26666667,0.014569197,0.003794187,0.072366999,0.065454517,0.014472008,0.001475944,0.03029858,2.205644614,4.350712674,0.496514102,0.149937402,0.077777333,0.299482727,0.014649027,0.007567042,1.110308161,0.068426088
Khergam,20.63333333,73.09583333,0.006063703,0.001585958,0.02682706,0.024987481,0.004644938,0.000558593,0.011899215,1.139826048,1.895422331,0.13571179,0.043053494,0.02641747,0.071932556,0.007419228,0.002772503,0.348924917,0.028095381
Jakana,20.63333333,73.74583333,0.007129856,0.002112122,0.049694668,0.047327577,0.008548666,0.000724578,0.01667952,1.13141848,2.207514797,0.234558575,0.073101451,0.030011718,0.141256642,0.008530133,0.004252411,0.75188942,0.039111688
Chinchpada,20.6375,73.775,0.002101381,0.000759805,0.012378245,0.008443415,0.00034143,0.000230188,0.00494214,0.186989029,0.644795455,0.093120464,0.009472295,0.014125576,0.026587643,0.003120004,0.000176991,0.02072787,0.009111587
Gadad,20.6375,73.775,0.00480561,0.002037165,0.032523843,0.026986936,0.004271695,0.000539621,0.012980232,0.974910464,2.246504415,0.199875216,0.066397657,0.021618239,0.092648782,0.00535937,0.001749503,0.464786256,0.029428607
Bari Pada,20.64,73.69138889,0.009577406,0.002974444,0.038097618,0.045846443,0.009096749,0.001068458,0.016671456,1.477483131,2.645748492,0.264792219,0.102229259,0.049784827,0.187621219,0.009775528,0.004834961,0.73024379,0.048943827
Bari pada,20.64166667,73.69166667,0.002246849,0.000437366,0.010034517,0.020900294,0.003835053,0.000279445,0.007156096,0.504774498,0.849573024,0.073431586,0.051639654,0.023326327,0.064561593,0.0041703,0.001739921,0.180303986,0.013506342
Dhumkal,20.64583333,73.79166667,0.006782182,0.001945516,0.040214099,0.03915552,0.006895906,0.000571661,0.013319315,1.204018853,1.984831878,0.179127525,0.070880085,0.039142271,0.133131271,0.007281929,0.003431116,0.599958282,0.036966847
Panikhadak,20.64916667,73.16694444,0.002075163,0.000596351,0.011105387,0.010566271,0.002231709,0.000269368,0.002387771,0.198466549,0.540034384,0.029198979,0.028710082,0.017788888,0.035300328,0.00381755,0.001246233,0.207037164,0.014042323
Chikhli,20.65833333,73.6875,0.002914216,0.001386861,0.019279174,0.021050178,0.004227553,0.000407186,0.007057519,0.800621516,1.388416964,0.113977198,0.031307975,0.021206845,0.046749979,0.00475815,0.002558819,0.360910246,0.023840081
Manav Khadak,20.67416667,73.23333333,0.009799432,0.002496146,0.045057827,0.037077537,0.007911606,0.000782287,0.01786843,1.149612914,2.412712473,0.220094441,0.077721727,0.038886304,0.145437095,0.009210882,0.004186185,0.483320355,0.046650693
Pipalkhed,20.675,73.28333333,0.007293539,0.002683333,0.044509912,0.043688584,0.007767652,0.000749432,0.020287126,1.291912974,2.325758663,0.253120719,0.08950655,0.050915407,0.185784708,0.008258103,0.004359228,0.697418732,0.044100993
Umberpada,20.68333333,73.725,0.006124648,0.001677113,0.028529704,0.03689272,0.005503183,0.000748687,0.009919112,0.860081251,1.799484408,0.17087285,0.044520679,0.035131023,0.124537828,0.00724467,0.003158393,0.639695757,0.032263198
Rumla,20.68916667,73.15888889,0.006277995,0.002463692,0.026887309,0.025909669,0.006650045,0.00057773,0.016709153,0.968140616,2.486309258,0.227604053,0.042881122,0.034262703,0.111409685,0.006808456,0.003419478,0.462152513,0.02724742
Aherdi,20.69166667,73.61666667,0.001827997,0.00063702,0.01621048,0.011957844,0.001808072,0.000233126,0.002650787,0.238304525,0,0.127356631,0.030013776,0.00835825,0.035365682,0.00010971,0.000913641,0.024408239,0.004950238
Nana pada,20.7,73.58333333,0.008452605,0.002738501,0.04015009,0.038811637,0.007157028,0.000902846,0.017128839,1.314099354,2.099773943,0.30880931,0.076989701,0.0453333,0.138832181,0.009693122,0.004142836,0.512690343,0.045834716
Gomtimata,20.70833333,70.87638889,0.006026942,0.001873427,0.043241037,0.040497401,0.009825427,0.000727807,0.018439897,1.350902868,2.083750161,0.224104761,0.081219484,0.039437385,0.141374345,0.008767615,0.003691938,0.571760066,0.039014582
Diu,20.71472222,70.94861111,0.001074642,0.0006807,0.009341206,0.002474081,0.000976831,0.000200316,0.003793218,0,0.281732978,0.088631431,0.038245923,0.008021429,0.035545348,0.000432067,0.000493466,0.092176707,0.007192764
Sakarpatal,20.71944444,73.55694444,9.05E-05,0.000225243,0.006425344,0,0,0.000177477,0.004023137,0.044014499,0.385263606,0,0.007362793,0,0,0,0,0.00750909,0.006275061
Jalawadi,20.72166667,70.93305556,5.21E-05,0.000221265,0,0.005183961,0,0.000126954,0,0.088300981,0.380524888,0.029879122,0.014210607,0,0.011697562,0.00096152,0,0.214476014,0
Kaliyari,20.725,73.15,0.003003997,0.000541909,0.008260363,0.013908161,0.002693184,0.000312088,0.005609335,0.315579077,0.79286942,0.090319627,0.036885287,0.018132674,0.067101347,0.003561932,0.001163013,0.232280883,0.022991255
Jamalpada,20.73166667,73.52055556,0.007061135,0.001172518,0.026722028,0.034423605,0.004828581,0.000556389,0.010662373,0.796796751,1.520490952,0.179502279,0.045824174,0.031839713,0.103528653,0.006079182,0.002828466,0.331708312,0.030739706
Hond,20.73888889,73.04583333,0.005006247,0.001067085,0.020061273,0.022015371,0.003678263,0.000461253,0.011374233,0.589246243,1.328256147,0.197751666,0.051789835,0.028136878,0.075084051,0.004694966,0.002404735,0.241016252,0.024294591
Ahwa1,20.75833333,73.68333333,0.012158268,0.002657204,0.059858178,0.053594802,0.011752783,0.001106893,0.026230345,1.727238248,3.382963378,0.314714068,0.08717643,0.059719833,0.219964268,0.012040315,0.006408335,0.748039715,0.056135153
Vaghai,20.76388889,73.50444444,0.013450051,0.003732867,0.054448941,0.054663418,0.011048253,0.001196481,0.023842269,1.844037476,2.824368196,0.327451575,0.102445936,0.050626946,0.24635963,0.01154885,0.006901126,0.768019876,0.05405135
Bhenskatri,20.76805556,73.54166667,0.001110821,0.000855174,0.021694119,0.007811106,0.001830348,0.000283913,0.008202117,0.29311688,0.905070758,0.096606808,0.03249629,0.009315007,0.067577121,0.002880803,0.001399925,0.063573007,0.008345085
Sari_khurd,20.7875,72.95416667,0.014882411,0.004603308,0.071877692,0.071215168,0.015625845,0.0014523,0.033470072,2.278904796,4.366822242,0.42752968,0.136701154,0.070271412,0.292197688,0.013645918,0.007447395,1.180115975,0.074462435
Kesariya1,20.79638889,70.94194444,0.008525629,0.002657876,0.038666056,0.040216677,0.009258846,0.000774679,0.015850538,1.2095245,2.294739477,0.193739021,0.065672546,0.048810172,0.149042043,0.00825106,0.004309955,0.481173368,0.041124782
Kantasvel,20.79722222,73.29166667,0.005032489,0.001744735,0.015642929,0.018777647,0.003690278,0.000445197,0.010356858,0.827597032,1.524884636,0.167624149,0.040293079,0.014782862,0.079357048,0.002833019,0.002351734,0.30626539,0.020624149
Kodinar,20.8,70.69166667,0.010108667,0.003415307,0.061875169,0.048194445,0.008560776,0.000910254,0.020192881,1.383651415,2.839205681,0.280187752,0.103002258,0.055539398,0.197757474,0.009988442,0.005328833,0.837606515,0.052014093
Kodinar1,20.8,70.69166667,0.002203094,0.000737676,0.007962043,0.012039165,0.003051199,0.00023109,0.00417493,0.393317363,0.327204867,0.064856892,0.009875873,0.014190277,0.047894725,0,0.001964437,0.010016413,0.018997878
Ghubita,20.8,73.7375,0.012860852,0.004353974,0.067463171,0.060704493,0.013597955,0.001125216,0.025258266,1.842558524,4.086547123,0.413303269,0.134849156,0.065125005,0.297944905,0.01465717,0.007220096,0.886690154,0.061570559
Nadak khadi,20.80416667,73.6125,0.009469927,0.002649822,0.048491782,0.042600886,0.007869996,0.000864202,0.016776716,1.402262332,2.925711759,0.245927482,0.100421255,0.042899903,0.200278145,0.008868169,0.004938953,0.666788123,0.036534603
Moti Valzar,20.805,73.26666667,0.006170193,0.002220858,0.037437881,0.035552481,0.005225206,0.000743545,0.014663617,0.988649001,2.148876675,0.200959652,0.077194932,0.042386702,0.134295986,0.007394735,0.003718239,0.462551573,0.034619708
Doldha,20.80666667,73.2275,0,0.000501458,0.001824436,0.002564564,0,7.65E-05,0.00079312,0.087626695,0,0.02897364,0,0,0.013819309,0.000626121,0.000189634,0.042297661,0
Chinchnogaotha,20.80833333,73.55277778,0.042884339,0.012858976,0.210175751,0.20758158,0.040180484,0.004278717,0.081442512,6.422123094,12.48975974,1.232653104,0.395864439,0.207215377,0.829757361,0.040345643,0.020973257,2.852877718,0.206420923
Bori gaotha,20.81111111,73.50416667,0.008881299,0.001742159,0.036809899,0.037277775,0.008919256,0.000689526,0.014151336,0.999047042,2.423026302,0.189228962,0.090443121,0.037039721,0.155368179,0.00596903,0.004178504,0.45742794,0.043424563
Rankuva,20.8125,73.15833333,0.007134702,0.002100226,0.038688754,0.035331901,0.007467303,0.00062405,0.011326744,0.985561839,2.312386068,0.145022674,0.059618469,0.033937698,0.150101433,0.005928583,0.003453937,0.481696104,0.036198479
Dolasa,20.82083333,70.85833333,0.014175306,0.004996194,0.078129958,0.090429665,0.016028353,0.001589755,0.032262233,2.128020533,4.636319943,0.421047779,0.161768031,0.080567768,0.262880432,0.014829604,0.007522714,1.099176988,0.072976936
Una2,20.825,71.04166667,0.003821349,0.001566838,0.019479786,0.022945132,0.003750576,0.000359837,0.009073996,0.669571601,1.289376148,0.122153367,0.037451285,0.016761566,0.071306564,0.002805226,0.002247201,0.264292434,0.015424035
Duvada,20.82861111,73.0575,0.014363384,0.004126402,0.066020219,0.077149876,0.014978285,0.001529623,0.028176109,1.87547996,4.667698251,0.419206389,0.133712273,0.067674183,0.282887792,0.016019368,0.007778328,0.921321895,0.063813018
Chadav,20.83111111,73.33444444,0.010753576,0.002930991,0.05415967,0.044564284,0.009893457,0.001057453,0.02065216,1.360753424,2.476603886,0.294817127,0.086545252,0.047086109,0.179087671,0.008756113,0.004264456,0.554171153,0.052745056
Onjal,20.83333333,72.84166667,0.012953339,0.003437246,0.066809124,0.060840854,0.012411504,0.001279799,0.024858881,2.068213556,4.011894716,0.404845233,0.135996892,0.065903315,0.276334904,0.013677413,0.006219532,0.997766807,0.064803163
Onjal1,20.83333333,72.84166667,0.002879479,0.001003013,0.023111326,0.021646535,0.003787888,0.000459395,0.004909826,0.802196043,1.451563445,0.098698301,0.029319531,0.031728362,0.084374252,0.00458414,0.001851323,0.414778635,0.017316373
Vaheval,20.83722222,73.28777778,0.002806536,0.00084414,0.029201591,0.012509364,0.004136831,0.000403202,0.008528481,0.521357093,0.680022842,0.170004124,0.022131609,0.017111306,0.031440096,0.003236567,0.002807742,0.322149363,0.017852769
Unai,20.85,73.34166667,0.006295211,0.001609541,0.026314754,0.03076984,0.005632523,0.000694793,0.008420996,0.750255538,1.816482946,0.180871636,0.069511138,0.026933521,0.113851756,0.006440212,0.002677162,0.255492962,0.034867475
Prasli,20.85083333,70.66916667,0.005066265,0.001860867,0.031044324,0.034568314,0.00605627,0.000593448,0.00936659,0.949632687,1.18013404,0.169766437,0.049516868,0.027206213,0.13115435,0.006669953,0.00287627,0.288394178,0.032106868
Sametar,20.85416667,71.12083333,0.032016673,0.010200989,0.166614596,0.176142368,0.033335031,0.003157459,0.067921747,5.129755997,9.877318484,1.008475558,0.31682367,0.170795644,0.673131957,0.033591465,0.016505269,2.391488832,0.172254985
Abrama,20.8625,72.9,0.016397494,0.005339553,0.08579346,0.08121157,0.016333171,0.00145522,0.035467993,2.650037668,5.31533543,0.520008057,0.184528158,0.080278671,0.344513644,0.016764612,0.009276176,1.237434738,0.0890686
Jafrabad,20.86666667,71.3625,0.002081092,0.001021793,0.008516698,0.006208582,0.001510358,0.000460405,0.005110392,0.227984157,0.940845634,0.071899093,0.020643976,0.005422964,0.028518307,0.001627619,0.00215599,0.119897357,0.00921645
Sodmal,20.86666667,73.61666667,0.002679012,0.001634723,0.011324194,0.010965167,0.003366854,0.000251447,0.008851552,0.467780601,0.667971725,0.055794985,0.042858789,0.020645757,0.069053881,0.003538464,0.002302698,0.273705519,0.017672395
Bherai,20.86805556,71.3625,0.003197542,0.000978128,0.024366197,0.015849366,0.003066983,0.000302226,0.006506814,0.622873098,1.511850363,0.109741247,0.046216266,0.020483567,0.059186411,0.004745784,0.001573181,0.279048091,0.015185114
Kansari,20.87,71.05111111,0.007199764,0.002189111,0.040065756,0.023127792,0.007337299,0.000536473,0.013031943,0.829648915,2.013901637,0.237220819,0.07659316,0.033868458,0.139040772,0.008274684,0.002941186,0.501427696,0.034459388
Vazat Amba,20.87833333,73.51833333,0.026197692,0.007534602,0.119716351,0.120579662,0.025503982,0.002558039,0.052024678,3.965177003,8.139591274,0.7529566,0.239804691,0.126562464,0.48465661,0.024878067,0.01317971,1.658141311,0.119424844
Jargla Jargali,20.88083333,70.98416667,0.008055812,0.002248446,0.037799876,0.03362704,0.008348576,0.000815493,0.013801652,1.099663495,2.647731271,0.215539283,0.077479235,0.038431809,0.145569451,0.00594557,0.003448301,0.400942697,0.035939575
Dandi,20.89166667,72.80833333,0.003600103,0.00147272,0.025023038,0.023342727,0.002736378,0.000519309,0.010738306,0.702157089,1.821845323,0.118342408,0.0271051,0.021751411,0.115338729,0.003984356,0.002862146,0.382883074,0.024959683
Timbi2,20.89583333,71.20416667,0.002967265,0.001381935,0.028005311,0.019169679,0.00623219,0.000343867,0.010776261,0.778480608,1.615295923,0.131437325,0.050125582,0.027675011,0.097560798,0.006077991,0.002223338,0.346561964,0.01848389
Timbi,20.9,71.2,0.007069322,0.001960216,0.033954683,0.04832755,0.007831641,0.00069054,0.013697287,1.116813756,2.588232565,0.214366726,0.079273851,0.039721278,0.1555969,0.007692299,0.004174475,0.559447186,0.036621413
Ajotha,20.90194444,70.51805556,0.038084387,0.011317085,0.186670856,0.191293531,0.036788039,0.003785464,0.077051667,5.787972281,10.96721499,1.122460787,0.376079288,0.185347975,0.762773641,0.036196255,0.019482301,2.660447591,0.186138464
Kadiyali,20.90833333,71.36027778,0.005021898,0.001219895,0.020182945,0.022611125,0.004370494,0.000246789,0.007316314,0.607741995,1.068552078,0.096052692,0.035878003,0.021156901,0.096977501,0.00265357,0.002172604,0.068553381,0.017724755
Mahal,20.91666667,73.67916667,0.012212347,0.003140118,0.057059782,0.059046613,0.00907048,0.001080991,0.024219342,1.854602991,3.061790928,0.369607951,0.100893243,0.05301435,0.187277904,0.010420698,0.005305052,0.711734854,0.050775527
Kalibel,20.92083333,73.58055556,0.00560552,0.001988836,0.019622495,0.026282394,0.006904655,0.000532813,0.00955048,0.672042504,2.505092142,0.190604237,0.058292534,0.03344357,0.140250911,0.00543538,0.00336048,0.480104689,0.035853434
Subir,20.92222222,73.58055556,0.006495711,0.002320356,0.021119942,0.032197284,0.00586379,0.000589616,0.01158524,1.221068722,1.887641832,0.213854728,0.06753237,0.028468721,0.138304676,0.006886313,0.003967175,0.46886455,0.030540363
Girgadhada,20.925,70.91666667,0,0.000339142,0.00422292,0.001142121,0.001653581,0,0,0,0,0,0,0.008578999,0.005068838,0.000253522,0.00071772,0.034264408,0
Nageshri,20.925,71.35416667,0.030426421,0.009055374,0.153360378,0.140180682,0.03197901,0.002927082,0.059408742,4.423587563,9.600758789,0.908009628,0.307235403,0.148887667,0.567023149,0.029713397,0.015321289,2.016299624,0.150155145
Puna1,20.92916667,73.22916667,0.000829061,2.50E-05,0.000304066,0,0.00020144,0.00016043,0.003172635,0.550221065,0.634397425,0.039040161,0.02906185,0.014610356,0.044534209,0.000338756,0.000476951,0.117655622,0.006703688
Eru,20.93638889,72.92638889,0.018240951,0.006371642,0.106888223,0.098518326,0.018529768,0.001966737,0.038845187,2.892014138,5.074641773,0.570587175,0.187957772,0.098197814,0.373150705,0.018184479,0.009594598,1.338024598,0.096672847
Govindpura2,20.94583333,70.39583333,0.041933042,0.013625706,0.223361913,0.212734607,0.044146694,0.004547169,0.085970955,6.385764749,13.70744625,1.308757471,0.426795264,0.214836318,0.848426414,0.044061905,0.02138506,3.022326996,0.23081842
Navsari,20.95,72.93333333,0.040964043,0.013454565,0.211849852,0.209835468,0.042141057,0.004459282,0.087367055,6.282500791,12.63069678,1.286186671,0.426587825,0.219069848,0.872904108,0.043401885,0.021264786,3.098980253,0.207486308
Bedchit,20.95,73.35138889,0.005727965,0.001788523,0.023894962,0.022595753,0.00359502,0.000531776,0.009588051,0.656719836,1.425904548,0.18485368,0.056441269,0.023554848,0.086173813,0.003307526,0.002763971,0.366168259,0.022891446
Navsari 1,20.95805556,72.935,0.005880199,0.001833835,0.035150544,0.021707791,0.005052103,0.000790461,0.013047364,0.692167736,2.25754351,0.156689033,0.040423588,0.027257948,0.153780032,0.006865178,0.003472501,0.312001925,0.026919268
Dhokadva,20.95833333,71.07083333,0.009690426,0.002801541,0.047884703,0.042688902,0.009044831,0.000949912,0.02051207,1.32442172,2.581782927,0.295570507,0.084325746,0.045123393,0.197921865,0.008364126,0.003738612,0.618775085,0.037597957
Lotpur,20.9625,71.43333333,0.010979959,0.003889346,0.050639525,0.060483196,0.011469604,0.001160332,0.020674619,1.842866761,2.542593863,0.312329011,0.102384739,0.061742154,0.227335546,0.011099295,0.006166541,0.779029607,0.060497278
Bardipada,20.96666667,73.64166667,0.000470298,0.000295864,0.002207461,0.010752855,0.001067467,4.99E-05,0.001213782,0.079240454,0,0.026530839,0,0.001251714,0.033177011,0.000412291,0.000278718,0.047823992,0.00573352
